id;email;Fecha desactivacion
2127;2127@gmail.com;20/04/2018
1422;1422@gmail.com;23/04/2018
4420;4420@gmail.com;28/04/2018
1027;1027@gmail.com;1/05/2018
1027;1027@gmail.com;3/05/2018
3941;3941@gmail.com;10/05/2018
3220;3220@gmail.com;14/05/2018
24355;24355@gmail.com;25/05/2018
2234;2234@gmail.com;10/06/2018
2251;2251@gmail.com;13/06/2019
2263;2263@gmail.com;19/06/2019
2263;2263@gmail.com;20/06/2019
2263;2263@gmail.com;21/06/2019
2267;2267@gmail.com;22/06/2019
1043;1043@gmail.com;4/07/2019
1044;1044@gmail.com;19/07/2019
1045;1045@gmail.com;22/07/2019
1046;1046@gmail.com;23/07/2019
1046;1046@gmail.com;24/07/2019
1046;1046@gmail.com;25/07/2019
